learning_rate,reg_param,batch_norm,depth,num_hidden_layers,activation,train_error,test_error,train_size,optim_time,epochs,sampling_type
0.01,0.0001,True,12,6,Sigmoid,0.0601963587105274,0.067130222916603,512,0,100,sobol
0.01,1e-06,True,20,12,Sigmoid,0.060222290456295,0.0673637315630912,1024,0,100,sobol
0.01,1e-06,True,12,6,Sigmoid,0.0666309744119644,0.0674136281013488,4096,0,100,sobol
0.01,1e-07,True,20,12,Sigmoid,0.0664189010858535,0.0674167871475219,4096,0,100,sobol
0.01,1e-05,True,16,12,Sigmoid,0.0668621957302093,0.0677258968353271,4096,0,100,sobol
0.01,0.0001,True,8,6,Sigmoid,0.0645466744899749,0.0678635686635971,512,0,100,sobol
0.01,0.0001,True,16,24,Sigmoid,0.06356792896986,0.0679146647453308,4096,1,100,sobol
0.01,1e-05,True,12,6,Sigmoid,0.0611266419291496,0.0680001229047775,512,0,100,sobol
0.01,1e-06,True,16,6,Sigmoid,0.0653420761227607,0.0680615901947021,512,0,100,sobol
0.01,1e-07,True,12,12,Sigmoid,0.0532134808599948,0.0681235641241073,512,0,100,sobol
0.01,0.0001,True,12,12,Sigmoid,0.0644122660160064,0.0681532025337219,1024,0,100,sobol
0.01,0.0001,True,20,12,Sigmoid,0.0638759434223175,0.0682884901762008,1024,0,100,sobol
0.01,1e-07,True,12,6,Sigmoid,0.0669413954019546,0.0683313459157943,4096,0,100,sobol
0.01,1e-05,True,8,12,Sigmoid,0.0663835853338241,0.0683972910046577,4096,0,100,sobol
0.01,1e-05,True,20,12,Sigmoid,0.0677121356129646,0.0684102326631546,4096,0,100,sobol
0.01,1e-07,True,12,6,Sigmoid,0.0665580555796623,0.0685174912214279,2048,0,100,sobol
0.01,1e-06,True,12,6,Sigmoid,0.0696292668581008,0.0685588866472244,8192,0,100,sobol
0.01,1e-06,True,12,6,Sigmoid,0.049168586730957,0.0685776472091674,256,0,100,sobol
0.01,1e-07,True,16,24,Sigmoid,0.0664567202329635,0.0686292350292205,4096,1,100,sobol
0.01,0.0001,True,8,24,Sigmoid,0.0650004297494888,0.0686382502317428,4096,0,100,sobol
0.01,1e-06,True,16,12,Sigmoid,0.0563961267471313,0.0688385963439941,512,0,100,sobol
0.01,0.0001,True,8,12,Sigmoid,0.067410796880722,0.0691101104021072,8192,0,100,sobol
0.01,0.0001,True,12,24,Sigmoid,0.0676604360342025,0.0692477598786354,8192,1,100,sobol
0.01,0.0001,True,20,12,Sigmoid,0.0569977313280105,0.0695297420024871,512,0,100,sobol
0.01,1e-07,True,20,24,Sigmoid,0.066413938999176,0.0696442425251007,2048,0,100,sobol
0.01,1e-07,True,12,6,Sigmoid,0.0691577121615409,0.0696837231516838,8192,0,100,sobol
0.01,1e-06,True,16,6,Sigmoid,0.0302566401660442,0.069749116897583,128,0,100,sobol
0.01,1e-07,True,16,12,Sigmoid,0.0683580338954925,0.0698927342891693,4096,0,100,sobol
0.01,1e-07,True,12,12,Sigmoid,0.0675349459052085,0.0700923502445221,2048,0,100,sobol
0.01,1e-07,True,8,12,Sigmoid,0.0664835199713707,0.0707034990191459,1024,0,100,sobol
0.01,1e-07,True,12,12,Sigmoid,0.0663499757647514,0.0709497332572937,1024,0,100,sobol
0.01,0.0001,True,16,6,Sigmoid,0.0501287430524826,0.0710529237985611,256,0,100,sobol
0.01,1e-06,True,8,12,Sigmoid,0.0677402839064598,0.0711771175265312,4096,0,100,sobol
0.01,1e-05,True,20,12,Sigmoid,0.0655838027596473,0.0712855458259582,1024,0,100,sobol
0.01,0.0001,True,16,12,Sigmoid,0.0698036402463913,0.0713254585862159,4096,0,100,sobol
0.01,1e-05,True,12,12,Sigmoid,0.0702292621135711,0.0717895850539207,4096,0,100,sobol
0.01,0.0001,True,20,12,Sigmoid,0.0711296573281288,0.0720255970954895,4096,0,100,sobol
0.01,1e-05,True,16,24,Sigmoid,0.0602901428937912,0.0720354914665222,1024,0,100,sobol
0.01,1e-05,True,12,6,Sigmoid,0.0721138566732406,0.072062462568283,4096,0,100,sobol
0.01,1e-06,True,8,6,Sigmoid,0.0712302178144455,0.0721848160028457,1024,0,100,sobol
0.01,1e-05,True,20,24,Sigmoid,0.0674460306763649,0.0726273208856582,2048,0,100,sobol
0.01,1e-05,True,12,6,Sigmoid,0.0571884512901306,0.0729142799973487,256,0,100,sobol
0.01,1e-05,True,16,24,Sigmoid,0.0725783333182334,0.0731023401021957,2048,0,100,sobol
0.01,1e-05,True,20,6,Sigmoid,0.0473009012639522,0.0731335878372192,256,0,100,sobol
0.01,1e-07,True,20,6,Sigmoid,0.0376791134476661,0.0732379555702209,128,0,100,sobol
0.01,1e-06,True,20,6,Sigmoid,0.0374524556100368,0.0732556730508804,128,0,100,sobol
0.01,1e-06,True,20,24,Sigmoid,0.0698687359690666,0.0735228061676025,2048,0,100,sobol
0.01,1e-06,True,12,12,Sigmoid,0.0625244081020355,0.0736241936683654,512,0,100,sobol
0.01,0.0001,True,12,12,Sigmoid,0.072628453373909,0.0738318040966987,4096,0,100,sobol
0.01,1e-07,True,12,6,Sigmoid,0.0514727719128131,0.0740527808666229,128,0,100,sobol
0.01,0.0001,True,16,6,Sigmoid,0.0385476686060428,0.0742409378290176,128,0,100,sobol
0.01,0.0001,True,12,12,Sigmoid,0.057472787797451,0.0743961632251739,512,0,100,sobol
0.01,1e-06,True,8,6,Sigmoid,0.072403959929943,0.074830487370491,2048,0,100,sobol
0.01,0.0001,True,20,24,Sigmoid,0.0706508755683898,0.0748524963855743,2048,0,100,sobol
0.01,1e-05,True,16,6,Sigmoid,0.0598259195685386,0.0750195160508155,256,0,100,sobol
0.01,1e-06,True,12,24,Sigmoid,0.0724187195301055,0.0750490128993988,8192,1,100,sobol
0.01,0.0001,True,16,24,Sigmoid,0.0718472227454185,0.0750831961631774,2048,0,100,sobol
0.01,1e-06,True,20,12,Sigmoid,0.0746822878718376,0.0751000121235847,8192,1,100,sobol
0.01,1e-05,True,12,24,Sigmoid,0.0720749199390411,0.0751574635505676,4096,1,100,sobol
0.01,1e-07,True,8,6,Sigmoid,0.0738655999302864,0.0752755999565124,2048,0,100,sobol
0.01,1e-05,True,12,24,Sigmoid,0.0737201422452926,0.0753136649727821,8192,1,100,sobol
0.01,1e-05,True,16,6,Sigmoid,0.0378176942467689,0.0754949301481247,128,0,100,sobol
0.01,1e-07,True,8,6,Sigmoid,0.0698675140738487,0.0756194591522216,512,0,100,sobol
0.01,1e-05,True,16,12,Sigmoid,0.0680693984031677,0.0762110576033592,512,0,100,sobol
0.01,0.0001,True,20,6,Sigmoid,0.0274413134902715,0.0762443095445633,128,0,100,sobol
0.01,1e-07,True,12,12,Sigmoid,0.075466364622116,0.0764019936323165,8192,0,100,sobol
0.01,1e-05,True,12,24,Sigmoid,0.0711718499660492,0.0766163319349289,2048,0,100,sobol
