learning_rate,reg_param,batch_norm,depth,num_hidden_layers,activation,train_error,test_error,train_size
0.001,1e-07,True,16,6,Sigmoid,0.018046101555228233,0.01964728906750679,8192
0.001,1e-07,True,16,24,Sigmoid,0.017990563064813614,0.019962288439273834,8192
0.01,1e-05,True,16,12,Sigmoid,0.013575868681073189,0.019969124346971512,512
0.001,0.0001,True,16,6,Sigmoid,0.01458841934800148,0.020119380205869675,1024
0.01,0.0001,True,8,12,Sigmoid,0.017088547348976135,0.020144864916801453,4096
0.01,1e-06,True,8,12,Sigmoid,0.012133038602769375,0.020267585292458534,512
0.01,0.0001,True,8,24,Sigmoid,0.019181951880455017,0.020394857972860336,1024
0.001,1e-07,True,16,6,Sigmoid,0.014902304857969284,0.020522359758615494,1024
0.001,1e-05,True,16,24,Sigmoid,0.017760567367076874,0.020601091906428337,8192
0.001,1e-05,True,16,6,Sigmoid,0.016951294615864754,0.020761758089065552,2048
0.001,0.0001,True,16,6,Sigmoid,0.01682315766811371,0.020856909453868866,4096
0.01,1e-05,True,16,6,Sigmoid,0.008436485193669796,0.02106286585330963,256
0.001,1e-05,True,16,6,Sigmoid,0.019181258976459503,0.02107228711247444,4096
0.01,0.0001,True,8,12,Sigmoid,0.017732048407197,0.021146120503544807,1024
0.01,1e-05,True,16,12,Sigmoid,0.01910904049873352,0.021221695467829704,1024
0.01,0.0001,True,16,24,Sigmoid,0.016517192125320435,0.0212843157351017,1024
0.001,1e-06,True,16,24,Sigmoid,0.018247274681925774,0.02132287621498108,8192
0.01,1e-05,True,8,6,Sigmoid,0.00698899058625102,0.021370965987443924,256
0.001,0.0001,True,16,6,Sigmoid,0.019037634134292603,0.02169797383248806,2048
0.001,1e-07,True,16,6,Sigmoid,0.017436672002077103,0.02182786911725998,2048
0.001,1e-06,True,16,6,Sigmoid,0.019130386412143707,0.021924374625086784,2048
0.001,1e-06,True,16,12,Sigmoid,0.0176934115588665,0.022051002830266953,4096
0.001,1e-05,True,16,24,Sigmoid,0.018317261710762978,0.02223966270685196,4096
0.01,1e-06,True,8,6,Sigmoid,0.006261258851736784,0.02227359265089035,256
0.01,1e-07,True,16,24,Sigmoid,0.011419173330068588,0.02247287705540657,1024
0.01,1e-05,True,16,24,Sigmoid,0.018632447347044945,0.022492311894893646,1024
0.01,1e-05,True,16,24,Sigmoid,0.014642786234617233,0.022554587572813034,512
0.001,1e-06,True,16,6,Sigmoid,0.017612425610423088,0.022605441510677338,1024
0.01,0.0001,True,16,24,Sigmoid,0.017098743468523026,0.02269621752202511,512
0.01,1e-07,True,16,6,Sigmoid,0.0048433998599648476,0.022757520899176598,256
0.01,0.0001,True,8,12,Sigmoid,0.020337915048003197,0.022996017709374428,512
0.001,1e-07,True,16,6,Sigmoid,0.020244743674993515,0.023267339915037155,4096
0.01,0.0001,True,16,6,Sigmoid,0.01367910299450159,0.02329341322183609,256
