learning_rate,reg_param,batch_norm,depth,num_hidden_layers,activation,train_error,test_error,train_size
0.01,1e-05,True,18,24,Sigmoid,5.71553897857666,5.632876873016357,1024
0.01,1e-05,True,18,24,Sigmoid,5.749080657958984,5.660677909851074,512
0.01,1e-05,True,20,6,Sigmoid,5.393351078033447,5.67917537689209,128
0.01,1e-06,True,16,12,Sigmoid,5.744701862335205,5.682464599609375,1024
0.01,1e-05,True,18,12,Sigmoid,4.8959856033325195,5.710071563720703,32
0.01,1e-06,True,18,24,Sigmoid,5.243555068969727,5.712054252624512,32
0.01,1e-07,True,18,24,Sigmoid,5.616202354431152,5.713616847991943,64
0.01,1e-06,True,18,6,Sigmoid,5.119940757751465,5.731653213500977,64
0.01,1e-06,True,20,6,Sigmoid,3.8684887886047363,5.766530990600586,16
0.01,1e-07,True,20,12,Sigmoid,4.744269847869873,5.781145095825195,32
0.01,1e-05,True,16,12,Sigmoid,5.521984100341797,5.785573959350586,64
0.01,0.0001,True,18,24,Sigmoid,5.878093719482422,5.786439895629883,1024
0.01,1e-05,True,18,6,Sigmoid,5.872650146484375,5.802814483642578,512
0.01,1e-07,True,18,24,Sigmoid,5.134127616882324,5.808225631713867,32
0.01,0.0001,True,20,12,Sigmoid,5.812690734863281,5.808746814727783,128
0.01,0.0001,True,14,12,Sigmoid,6.044347763061523,5.812283515930176,256
0.01,1e-06,True,18,24,Sigmoid,5.800696849822998,5.81342887878418,128
0.01,1e-05,True,20,12,Sigmoid,4.365034580230713,5.816133499145508,16
0.01,0.0001,True,18,24,Sigmoid,6.039330005645752,5.817805290222168,128
0.01,0.0001,True,16,24,Sigmoid,5.81406307220459,5.8182373046875,128
0.01,1e-05,True,18,6,Sigmoid,4.85614013671875,5.837902069091797,32
0.01,0.0001,True,18,6,Sigmoid,5.934323310852051,5.865774631500244,1024
0.01,0.0001,True,18,12,Sigmoid,5.927096366882324,5.869576930999756,1024
0.01,0.0001,True,14,12,Sigmoid,5.862452507019043,5.876281261444092,128
0.01,0.0001,True,18,24,Sigmoid,5.8348002433776855,5.887247085571289,64
0.01,1e-05,True,20,6,Sigmoid,5.973308563232422,5.896769046783447,512
0.01,1e-07,True,16,24,Sigmoid,5.501153945922852,5.900785446166992,32
0.01,1e-07,True,16,12,Sigmoid,5.575031280517578,5.902884483337402,64
0.01,1e-06,True,20,6,Sigmoid,4.798059940338135,5.9297919273376465,32
0.01,1e-05,True,20,24,Sigmoid,5.979391574859619,5.930413722991943,512
0.01,1e-07,True,16,12,Sigmoid,5.9022369384765625,5.950501441955566,128
0.01,1e-05,True,14,12,Sigmoid,5.764253616333008,5.966543674468994,128
0.01,1e-05,True,18,24,Sigmoid,4.929527282714844,5.968033313751221,16
0.01,1e-07,True,18,6,Sigmoid,5.359541416168213,5.976815223693848,64
0.01,1e-06,True,18,24,Sigmoid,5.970604419708252,6.005167007446289,64
0.01,1e-06,True,20,24,Sigmoid,4.792686462402344,6.005880355834961,16
0.01,1e-06,True,14,12,Sigmoid,5.743448734283447,6.013693332672119,64
0.01,1e-07,True,12,24,Sigmoid,6.085824966430664,6.021535396575928,512
0.01,1e-06,True,20,6,Sigmoid,6.003693103790283,6.022489070892334,128
0.01,0.0001,True,16,6,Sigmoid,6.089934825897217,6.029003143310547,1024
0.01,1e-07,True,14,12,Sigmoid,6.132424354553223,6.0587286949157715,1024
0.01,1e-07,True,20,6,Sigmoid,4.331284523010254,6.070592403411865,16
0.01,0.0001,True,20,24,Sigmoid,5.971365451812744,6.072580337524414,64
0.01,0.0001,True,18,6,Sigmoid,6.029575824737549,6.077842712402344,128
0.01,1e-05,True,14,6,Sigmoid,6.051521301269531,6.116060256958008,128
0.01,0.0001,True,18,12,Sigmoid,5.388727188110352,6.117598533630371,32
0.01,1e-06,True,20,12,Sigmoid,6.037501811981201,6.124468803405762,128
0.01,1e-06,True,16,24,Sigmoid,6.227585792541504,6.141805171966553,512
0.01,0.0001,True,18,12,Sigmoid,6.199841022491455,6.154518127441406,512
0.01,0.0001,True,20,6,Sigmoid,5.216238975524902,6.189347743988037,32
0.01,1e-05,True,18,24,Sigmoid,6.472084999084473,6.2169976234436035,256
0.01,0.0001,True,16,6,Sigmoid,6.442445755004883,6.220416069030762,256
0.01,1e-05,True,16,12,Sigmoid,6.489419460296631,6.234825611114502,256
0.01,0.0001,True,18,6,Sigmoid,6.309866428375244,6.235040187835693,512
0.01,0.0001,True,18,6,Sigmoid,4.779304027557373,6.235339164733887,32
0.01,1e-06,True,16,24,Sigmoid,5.378376007080078,6.242702007293701,16
0.01,1e-05,True,16,6,Sigmoid,5.925736904144287,6.25468635559082,64
0.01,0.0001,True,14,6,Sigmoid,6.325430870056152,6.266324043273926,512
0.01,1e-06,True,16,12,Sigmoid,6.246547222137451,6.267658233642578,128
0.01,1e-06,True,16,6,Sigmoid,6.142413139343262,6.273349761962891,128
0.01,1e-05,True,16,24,Sigmoid,5.930941581726074,6.293208122253418,32
0.01,1e-07,True,18,12,Sigmoid,4.85595178604126,6.312582015991211,16
