optimizer,learning_rate,weight_decay,beta_1,beta_2,eps,num_epochs,batch_size,layer_depth,n_layers,activation_function,train_error,test_error,training_set_size,train_time,version,scenario
adam,0.01,0.0001,0.9,0.99,1e-08,2000,256.0,8,6,Sigmoid,0.05516214668750763,0.06554439663887024,512,10,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,,16,6,Sigmoid,0.035504914820194244,0.06590382754802704,1024,5,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,,4,12,Sigmoid,0.06755278259515762,0.06590475887060165,1024,8,1,projectile
adam,0.01,1e-06,0.9,0.99,1e-08,2000,32.0,16,6,Sigmoid,0.07209015637636185,0.06609086692333221,1024,145,1,projectile
adam,0.01,1e-06,0.9,0.99,1e-08,2000,,8,6,Sigmoid,0.036524273455142975,0.06629246473312378,1024,4,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,256.0,8,12,Sigmoid,0.043614257127046585,0.06629933416843414,1024,37,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,128.0,16,6,Sigmoid,0.057195261120796204,0.06654034554958344,1024,39,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,512.0,8,6,Sigmoid,0.0648098886013031,0.066578209400177,1024,13,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,128.0,16,6,Sigmoid,0.044645920395851135,0.06688055396080017,256,9,1,projectile
adam,0.01,1e-06,0.9,0.99,1e-08,2000,128.0,4,12,Sigmoid,0.05891457200050354,0.06692086905241013,1024,71,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,,8,12,Sigmoid,0.030248619616031647,0.0669710636138916,256,8,1,projectile
adam,0.001,1e-06,0.9,0.99,1e-08,2000,128.0,8,6,Sigmoid,0.06313970685005188,0.06704811006784439,1024,38,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,,8,12,Sigmoid,0.0420917347073555,0.0671832337975502,1024,9,1,projectile
adam,0.001,1e-07,0.9,0.99,1e-08,2000,256.0,16,6,Sigmoid,0.05342040956020355,0.06789179891347885,1024,21,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,,8,12,Sigmoid,0.026875585317611694,0.06807902455329895,1024,9,1,projectile
adam,0.001,0.0001,0.9,0.99,1e-08,2000,64.0,16,6,Sigmoid,0.06677867472171783,0.06831197440624237,1024,75,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,512.0,4,12,Sigmoid,0.06364673376083374,0.06871951371431351,1024,21,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,128.0,4,6,Sigmoid,0.062091100960969925,0.0697801262140274,1024,38,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,64.0,8,6,Sigmoid,0.06400059908628464,0.07003572583198547,1024,73,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,,8,6,Sigmoid,0.027120184153318405,0.07022126019001007,512,4,1,projectile
adam,0.01,1e-06,0.9,0.99,1e-08,2000,512.0,4,12,Sigmoid,0.06502242386341095,0.07071029394865036,1024,21,1,projectile
adam,0.01,1e-06,0.9,0.99,1e-08,2000,128.0,4,6,Sigmoid,0.05871884524822235,0.07081831246614456,1024,38,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,128.0,4,6,Sigmoid,0.05551031604409218,0.07086053490638733,256,9,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,256.0,4,6,Sigmoid,0.05392082780599594,0.07094127684831619,512,10,1,projectile
adam,0.01,1e-06,0.9,0.99,1e-08,2000,,16,6,Sigmoid,0.020798590034246445,0.07098990678787231,512,4,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,,8,6,Sigmoid,0.03258385509252548,0.07114271819591522,1024,4,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,128.0,4,6,Sigmoid,0.06636375188827515,0.0711708515882492,512,19,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,128.0,8,6,Sigmoid,0.06224319338798523,0.0716656893491745,256,9,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,128.0,8,6,Sigmoid,0.06142284721136093,0.07199227809906006,1024,38,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,,4,6,Sigmoid,0.039631105959415436,0.07212870568037033,512,4,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,,8,12,Sigmoid,0.027778029441833496,0.07221058011054993,256,8,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,,16,6,Sigmoid,0.03625744208693504,0.07241659611463547,256,4,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,256.0,8,12,Sigmoid,0.0849975198507309,0.07268156856298447,1024,43,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,128.0,8,6,Sigmoid,0.06977904587984085,0.07272964715957642,1024,38,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,256.0,8,6,Sigmoid,0.0580846443772316,0.0727715864777565,1024,21,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,128.0,8,6,Sigmoid,0.053278759121894836,0.07282448559999466,512,19,1,projectile
adam,0.001,1e-07,0.9,0.99,1e-08,2000,64.0,16,6,Sigmoid,0.06528480350971222,0.07293316721916199,1024,1043,1,projectile
adam,0.01,1e-06,0.9,0.99,1e-08,2000,512.0,4,6,Sigmoid,0.05608561635017395,0.07360325008630753,1024,13,1,projectile
adam,0.01,1e-06,0.9,0.99,1e-08,2000,,8,6,Sigmoid,0.02740127593278885,0.07376618683338165,512,4,1,projectile
adam,0.01,1e-06,0.9,0.99,1e-08,2000,256.0,16,6,Sigmoid,0.05267687886953354,0.07384592294692993,512,10,1,projectile
adam,0.001,0.0001,0.9,0.99,1e-08,2000,64.0,8,6,Sigmoid,0.06734232604503632,0.07399581372737885,1024,74,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,,4,6,Sigmoid,0.04779724404215813,0.07414862513542175,512,4,1,projectile
adam,0.01,1e-06,0.9,0.99,1e-08,2000,,4,12,Sigmoid,0.044789884239435196,0.07430827617645264,1024,8,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,64.0,4,6,Sigmoid,0.0724833756685257,0.07501475512981415,512,36,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,,16,6,Sigmoid,0.018848638981580734,0.07526082545518875,512,4,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,64.0,4,12,Sigmoid,0.07056376338005066,0.07528020441532135,1024,140,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,,8,12,Sigmoid,0.04073428362607956,0.07530902326107025,1024,9,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,256.0,8,12,Sigmoid,0.05718480050563812,0.07542204856872559,512,19,1,projectile
