learning_rate,reg_param,batch_norm,depth,num_hidden_layers,activation,train_error,test_error,train_size
0.01,1e-06,True,20,24,Sigmoid,4.491997718811035,5.481353759765625,16
0.01,1e-06,True,20,6,Sigmoid,4.330044746398926,5.493563652038574,32
0.01,1e-05,True,16,24,Sigmoid,5.407076358795166,5.494729042053223,256
0.01,1e-05,True,18,24,Sigmoid,5.385013580322266,5.5312113761901855,32
0.01,0.0001,True,20,6,Sigmoid,5.091113090515137,5.543218612670898,64
0.01,1e-06,True,18,6,Sigmoid,4.672881603240967,5.552160263061523,32
0.01,0.0001,True,16,6,Sigmoid,3.998826503753662,5.562243938446045,16
0.01,1e-06,True,14,24,Sigmoid,5.538021087646484,5.5643229484558105,1024
0.01,1e-07,True,18,24,Sigmoid,5.544344902038574,5.569537162780762,512
0.01,1e-05,True,18,12,Sigmoid,4.670540809631348,5.588225364685059,16
0.01,1e-06,True,16,24,Sigmoid,5.561822891235352,5.591065406799316,1024
0.01,1e-06,True,18,6,Sigmoid,5.560214042663574,5.5914812088012695,1024
0.01,1e-05,True,18,24,Sigmoid,5.235844612121582,5.595909118652344,16
0.01,1e-06,True,16,12,Sigmoid,5.491861820220947,5.598340034484863,512
0.01,1e-06,True,20,12,Sigmoid,4.9624714851379395,5.601666450500488,32
0.01,1e-05,True,20,24,Sigmoid,5.123733997344971,5.603764533996582,16
0.01,1e-06,True,18,12,Sigmoid,5.568199157714844,5.605278015136719,1024
0.01,1e-07,True,18,24,Sigmoid,5.546450614929199,5.639068126678467,32
0.01,0.0001,True,16,6,Sigmoid,5.601293563842773,5.6444549560546875,1024
0.01,1e-06,True,16,6,Sigmoid,5.521602630615234,5.65377140045166,256
0.01,1e-05,True,18,24,Sigmoid,5.636882305145264,5.660754203796387,512
0.01,1e-07,True,18,12,Sigmoid,5.559133052825928,5.662186622619629,512
0.01,1e-07,True,16,24,Sigmoid,5.591740608215332,5.663978576660156,64
0.01,1e-06,True,20,6,Sigmoid,5.607141017913818,5.688560485839844,512
0.01,1e-07,True,18,12,Sigmoid,5.629729270935059,5.7120771408081055,256
0.01,0.0001,True,18,24,Sigmoid,5.439230442047119,5.737689018249512,32
0.01,1e-06,True,20,6,Sigmoid,5.369197845458984,5.750933647155762,128
0.01,1e-05,True,20,6,Sigmoid,4.85327672958374,5.766136646270752,32
0.01,1e-06,True,16,24,Sigmoid,5.724741458892822,5.779814720153809,256
0.01,1e-06,True,18,12,Sigmoid,4.566465377807617,5.781996250152588,16
0.01,1e-05,True,20,12,Sigmoid,5.386204719543457,5.802769660949707,64
0.01,1e-07,True,12,24,Sigmoid,5.696130275726318,5.826369285583496,512
0.01,1e-07,True,20,24,Sigmoid,5.179863929748535,5.878137111663818,16
0.01,1e-05,True,18,24,Sigmoid,5.803126335144043,5.883707046508789,256
0.01,0.0001,True,16,24,Sigmoid,5.846158981323242,5.884424686431885,512
0.01,0.0001,True,18,24,Sigmoid,5.8867506980896,5.904837131500244,1024
0.01,0.0001,True,16,12,Sigmoid,5.655396461486816,5.919194221496582,64
0.01,1e-06,True,20,12,Sigmoid,4.98103666305542,5.948164939880371,16
0.01,1e-05,True,16,12,Sigmoid,5.90950870513916,5.962892055511475,512
0.01,1e-07,True,16,12,Sigmoid,5.798150539398193,5.963117599487305,128
0.01,1e-07,True,16,12,Sigmoid,5.6813178062438965,5.966999053955078,64
0.01,1e-06,True,20,24,Sigmoid,5.951709270477295,5.983949661254883,1024
0.01,1e-06,True,16,12,Sigmoid,4.938535690307617,6.005306243896484,16
0.01,1e-07,True,20,12,Sigmoid,4.962188720703125,6.015872001647949,16
0.01,1e-07,True,16,6,Sigmoid,5.981442928314209,6.028843402862549,512
0.01,1e-07,True,16,6,Sigmoid,5.185941696166992,6.045334339141846,32
0.01,1e-05,True,16,6,Sigmoid,5.792921543121338,6.047230243682861,128
0.01,1e-07,True,18,24,Sigmoid,5.518324851989746,6.067791938781738,16
0.01,0.0001,True,18,12,Sigmoid,5.9533305168151855,6.069475173950195,128
0.01,0.0001,True,16,12,Sigmoid,6.088350772857666,6.115317344665527,512
0.01,0.0001,True,20,6,Sigmoid,5.2366132736206055,6.119593143463135,32
0.01,1e-06,True,14,12,Sigmoid,5.987161636352539,6.120526313781738,256
0.01,1e-07,True,16,6,Sigmoid,6.0077595710754395,6.131025791168213,256
0.01,1e-05,True,16,6,Sigmoid,5.70527458190918,6.131236553192139,64
0.01,1e-07,True,20,6,Sigmoid,5.8758111000061035,6.1393280029296875,64
0.01,1e-06,True,18,6,Sigmoid,5.752542018890381,6.167147636413574,64
0.01,0.0001,True,20,6,Sigmoid,4.8464202880859375,6.190248966217041,16
0.01,0.0001,True,18,12,Sigmoid,5.985865116119385,6.190299034118652,64
0.01,1e-05,True,14,24,Sigmoid,6.180299282073975,6.225304126739502,256
0.01,1e-07,True,20,6,Sigmoid,4.890902996063232,6.256178855895996,16
0.01,1e-05,True,18,6,Sigmoid,6.12507963180542,6.256880283355713,256
0.01,1e-07,True,16,6,Sigmoid,6.096590995788574,6.258475303649902,128
0.01,1e-07,True,14,24,Sigmoid,6.258747100830078,6.26513671875,1024
0.01,1e-07,True,14,6,Sigmoid,6.217705726623535,6.275275230407715,512
0.01,1e-05,True,16,24,Sigmoid,6.133069038391113,6.2781524658203125,64
0.01,1e-05,True,18,24,Sigmoid,6.284070014953613,6.298712253570557,1024
0.01,1e-05,True,16,6,Sigmoid,5.131536483764648,6.301112174987793,32
0.01,0.0001,True,20,24,Sigmoid,6.248287200927734,6.306264400482178,32
0.01,1e-05,True,16,12,Sigmoid,6.0965166091918945,6.306684970855713,64
0.01,0.0001,True,18,24,Sigmoid,6.071677207946777,6.308983325958252,16
0.01,1e-05,True,12,12,Sigmoid,6.2458295822143555,6.318955898284912,512
0.01,1e-07,True,16,24,Sigmoid,6.249500274658203,6.3228559494018555,128
0.01,0.0001,True,16,24,Sigmoid,6.331371784210205,6.339676856994629,1024
0.01,1e-07,True,14,6,Sigmoid,6.297471523284912,6.34423303604126,1024
0.01,1e-05,True,12,6,Sigmoid,6.310187816619873,6.365897178649902,1024
0.01,1e-05,True,18,6,Sigmoid,6.342878818511963,6.382986068725586,512
0.01,1e-07,True,16,6,Sigmoid,4.958725929260254,6.388797283172607,16
0.01,0.0001,True,16,6,Sigmoid,6.091560363769531,6.420571327209473,64
0.01,0.0001,True,18,6,Sigmoid,5.627348899841309,6.431191444396973,32
0.01,1e-05,True,16,6,Sigmoid,5.042270183563232,6.434421539306641,16
0.01,1e-07,True,18,6,Sigmoid,6.215997695922852,6.436933517456055,128
0.01,0.0001,True,18,6,Sigmoid,6.151656150817871,6.440942764282227,128
0.01,1e-06,True,18,24,Sigmoid,6.285998821258545,6.45033073425293,64
0.01,1e-06,True,14,12,Sigmoid,6.397087097167969,6.457552909851074,512
0.01,1e-05,True,18,12,Sigmoid,6.441020488739014,6.481521129608154,512
0.01,1e-07,True,18,6,Sigmoid,5.048954963684082,6.515556335449219,16
0.01,1e-06,True,14,6,Sigmoid,6.437044143676758,6.520720958709717,512
0.01,1e-07,True,16,12,Sigmoid,5.897312641143799,6.525832176208496,32
0.01,1e-05,True,14,12,Sigmoid,6.499150276184082,6.543126106262207,512
0.01,1e-07,True,18,12,Sigmoid,5.956411361694336,6.543236255645752,32
0.01,1e-07,True,16,6,Sigmoid,6.106013774871826,6.5487565994262695,64
0.01,1e-07,True,16,24,Sigmoid,6.5107316970825195,6.560314655303955,256
0.01,0.0001,True,16,24,Sigmoid,6.5193586349487305,6.581181526184082,128
0.01,0.0001,True,18,24,Sigmoid,6.558947563171387,6.583424091339111,512
0.01,1e-07,True,20,6,Sigmoid,5.754903316497803,6.589449882507324,32
0.01,1e-07,True,14,12,Sigmoid,6.3530988693237305,6.600441932678223,64
0.01,1e-06,True,16,6,Sigmoid,6.533672332763672,6.602535247802734,512
0.01,0.0001,True,16,24,Sigmoid,6.53000545501709,6.616393566131592,256
0.01,1e-06,True,14,6,Sigmoid,6.421729564666748,6.635722637176514,128
0.01,1e-07,True,14,12,Sigmoid,6.562593460083008,6.637127876281738,256
0.01,0.0001,True,16,24,Sigmoid,6.311464309692383,6.641413688659668,32
0.01,1e-06,True,18,12,Sigmoid,5.971118450164795,6.642398834228516,32
0.01,1e-06,True,16,24,Sigmoid,6.5246381759643555,6.666932106018066,64
0.01,1e-07,True,18,12,Sigmoid,6.462038040161133,6.670015335083008,64
0.01,1e-06,True,16,6,Sigmoid,6.651273727416992,6.706572532653809,1024
0.01,1e-05,True,16,12,Sigmoid,6.599690914154053,6.710095405578613,128
0.01,1e-07,True,14,6,Sigmoid,6.487238883972168,6.730998992919922,128
0.01,0.0001,True,18,6,Sigmoid,5.51742696762085,6.736020088195801,16
0.01,0.0001,True,14,6,Sigmoid,6.698663234710693,6.739756107330322,512
0.01,0.0001,True,14,24,Sigmoid,6.244849681854248,6.749709129333496,16
0.01,1e-07,True,16,12,Sigmoid,5.708136558532715,6.777589321136475,16
0.01,1e-05,True,14,6,Sigmoid,6.024320125579834,6.796750068664551,32
0.01,1e-07,True,18,6,Sigmoid,5.8276143074035645,6.813597679138184,32
0.01,1e-05,True,16,24,Sigmoid,6.8104729652404785,6.828926086425781,1024
0.01,1e-06,True,18,6,Sigmoid,6.757246017456055,6.829784870147705,512
0.01,1e-06,True,18,6,Sigmoid,5.666223049163818,6.848945617675781,16
0.01,1e-06,True,16,12,Sigmoid,6.831071853637695,6.870598793029785,1024
0.01,1e-05,True,16,24,Sigmoid,6.508341312408447,6.88706111907959,16
0.01,1e-05,True,16,6,Sigmoid,6.812175750732422,6.889346599578857,256
0.01,0.0001,True,14,24,Sigmoid,6.726414203643799,6.889440059661865,32
0.01,1e-06,True,16,24,Sigmoid,6.844503402709961,6.898012161254883,128
0.01,1e-06,True,16,6,Sigmoid,5.978903293609619,6.908699989318848,32
0.01,0.0001,True,16,12,Sigmoid,5.988458156585693,6.910615921020508,16
0.01,1e-05,True,14,12,Sigmoid,6.8965983390808105,6.93756103515625,1024
0.01,1e-07,True,18,6,Sigmoid,6.62938117980957,6.938529968261719,64
0.01,0.0001,True,14,24,Sigmoid,6.889361381530762,6.9405388832092285,1024
0.01,1e-06,True,12,24,Sigmoid,6.8858323097229,6.949526786804199,1024
0.01,0.0001,True,14,6,Sigmoid,6.927359104156494,6.96087646484375,1024
0.01,1e-07,True,12,24,Sigmoid,6.764948844909668,6.981560230255127,64
