learning_rate,reg_param,batch_norm,depth,num_hidden_layers,activation,train_error,test_error,train_size,optim_time,epochs,sampling_type
0.01,1e-05,True,20,6,Sigmoid,3.7283408641815186,4.208743095397949,64,0,100,sobol
0.01,0.0001,True,20,6,Sigmoid,3.9045917987823486,4.250977039337158,128,0,100,sobol
0.01,1e-07,True,20,6,Sigmoid,4.1920294761657715,4.274548530578613,512,0,100,sobol
0.01,1e-07,True,20,24,Sigmoid,4.0091423988342285,4.312192440032959,32,0,100,sobol
0.01,0.0001,True,20,6,Sigmoid,4.331024646759033,4.386731147766113,512,0,100,sobol
0.01,1e-06,True,20,6,Sigmoid,3.821455717086792,4.408700942993164,64,0,100,sobol
0.01,1e-05,True,16,24,Sigmoid,4.419166564941406,4.4348039627075195,512,0,100,sobol
0.01,1e-07,True,20,6,Sigmoid,4.310685157775879,4.45894193649292,256,0,100,sobol
0.01,1e-07,True,20,24,Sigmoid,4.21135139465332,4.487195014953613,64,0,100,sobol
0.01,1e-06,True,20,12,Sigmoid,4.444680213928223,4.5069756507873535,512,0,100,sobol
0.01,1e-06,True,20,24,Sigmoid,4.461636543273926,4.512458801269531,256,0,100,sobol
0.01,0.0001,True,20,24,Sigmoid,3.858562231063843,4.532079219818115,16,0,100,sobol
0.01,1e-06,True,20,24,Sigmoid,4.403181076049805,4.5618462562561035,64,0,100,sobol
0.01,1e-06,True,20,12,Sigmoid,4.230635166168213,4.565654277801514,64,0,100,sobol
0.01,1e-06,True,20,6,Sigmoid,4.535269260406494,4.597807884216309,1024,0,100,sobol
0.01,1e-07,True,16,24,Sigmoid,4.530977249145508,4.683127403259277,256,0,100,sobol
0.01,1e-07,True,20,24,Sigmoid,3.8917200565338135,4.742674350738525,16,0,100,sobol
0.01,1e-06,True,20,6,Sigmoid,4.59840202331543,4.769113540649414,256,0,100,sobol
0.01,1e-07,True,16,12,Sigmoid,4.656235218048096,4.770012855529785,256,0,100,sobol
0.01,0.0001,True,20,12,Sigmoid,4.706223011016846,4.785130977630615,1024,0,100,sobol
0.01,1e-05,True,20,12,Sigmoid,4.759871482849121,4.786517143249512,1024,0,100,sobol
0.01,1e-07,True,20,6,Sigmoid,4.564019203186035,4.787286758422852,128,0,100,sobol
0.01,1e-06,True,20,24,Sigmoid,4.660678863525391,4.806022644042969,128,0,100,sobol
0.01,1e-06,True,20,6,Sigmoid,3.409975290298462,4.807179927825928,16,0,100,sobol
0.01,0.0001,True,20,6,Sigmoid,4.364236831665039,4.811649322509766,64,0,100,sobol
0.01,1e-06,True,16,12,Sigmoid,4.761641025543213,4.874141216278076,512,0,100,sobol
0.01,0.0001,True,20,24,Sigmoid,4.824347019195557,4.887150287628174,256,0,100,sobol
0.01,0.0001,True,20,6,Sigmoid,4.752681732177734,4.896788597106934,256,0,100,sobol
