learning_rate,reg_param,batch_norm,depth,num_hidden_layers,activation,train_error,test_error,train_size,optim_time,epochs,sampling_type
0.01,1e-07,True,12,24,Sigmoid,0.0128476917743682,0.0140771111473441,4096,14,1000,sobol
0.001,0.0001,True,20,6,Sigmoid,0.0122309392318129,0.0141456453129649,4096,5,1000,sobol
0.01,1e-05,True,16,6,Sigmoid,0.0124758295714855,0.0143281687051057,2048,2,1000,sobol
0.01,1e-05,True,12,12,Sigmoid,0.0120241455733776,0.0143993813544511,2048,5,1000,sobol
0.01,1e-06,True,8,6,Sigmoid,0.0136367548257112,0.0144420843571424,4096,3,1000,sobol
0.001,0.0001,True,20,6,Sigmoid,0.0121141709387302,0.0144738815724849,8192,8,1000,sobol
0.01,1e-06,True,20,12,Sigmoid,0.0125266071408987,0.0145934736356139,4096,10,1000,sobol
0.01,0.0001,True,12,6,Sigmoid,0.0126978792250156,0.014614020474255,2048,2,1000,sobol
0.001,1e-07,True,16,6,Sigmoid,0.0139856301248073,0.014717198908329,8192,6,1000,sobol
0.001,1e-05,True,16,6,Sigmoid,0.0118506830185651,0.0147688705474138,2048,2,1000,sobol
0.01,1e-06,True,16,12,Sigmoid,0.0085776206105947,0.0147827602922916,1024,3,1000,sobol
0.01,0.0001,True,8,12,Sigmoid,0.0165730006992816,0.0148329436779022,8192,10,1000,sobol
0.01,1e-06,True,16,24,Sigmoid,0.009464643895626,0.0148459896445274,2048,10,1000,sobol
0.01,0.0001,True,16,24,Sigmoid,0.0125620476901531,0.0148950051516294,4096,16,1000,sobol
0.01,1e-05,True,12,12,Sigmoid,0.0138118686154484,0.0149208484217524,4096,7,1000,sobol
0.01,1e-07,True,8,6,Sigmoid,0.0093393037095665,0.0149212721735239,2048,2,1000,sobol
0.01,1e-07,True,16,12,Sigmoid,0.0124678602442145,0.0149562377482652,4096,8,1000,sobol
0.01,1e-07,True,12,12,Sigmoid,0.0084060039371252,0.0150322522968053,512,2,1000,sobol
0.01,1e-07,True,20,12,Sigmoid,0.008518717251718,0.0150907151401042,1024,3,1000,sobol
0.01,0.0001,True,20,24,Sigmoid,0.0127013595774769,0.0152771333232522,1024,8,1000,sobol
0.01,1e-07,True,20,6,Sigmoid,0.0132993282750248,0.015374781563878,512,1,1000,sobol
0.01,1e-05,True,16,12,Sigmoid,0.0112963421270251,0.0154068088158965,1024,3,1000,sobol
0.01,1e-05,True,12,6,Sigmoid,0.0127025265246629,0.01545643620193,1024,1,1000,sobol
0.001,1e-05,True,16,6,Sigmoid,0.0145958578214049,0.0155904777348041,4096,4,1000,sobol
